Subgroup,Sample_Size,Threshold,Accuracy,F1_Score,ROC_AUC,True_High_Health_%
Other_Short,4,0.3400000000000001,1.0,1.0,,100.0
Male_Normal,7,0.22000000000000003,0.8571428571428571,0.9090909090909091,0.7,71.42857142857143
Female_Short,4,0.3400000000000001,0.75,0.8571428571428571,0.6666666666666666,75.0
Other_Normal,7,0.3400000000000001,0.7142857142857143,0.8333333333333334,0.6000000000000001,71.42857142857143
Female_Normal,6,0.3400000000000001,0.6666666666666666,0.8,0.6,83.33333333333334
Male_Short,4,0.3400000000000001,0.25,0.4,0.5,50.0
